;plot;layer;EBEN;HO02;STU01;GAS01;UNT01;MANFR.09;MANFR.10;MANFR.04;GWABL01;MANFR.07;NIKOLS02;NIKOLS01;ZAJACH01;MANFR.08;MANFR.05;EICHIG02;LAN02;LAN01;MANFR.06;HABICH01;UPEISCH01;MANFR.11;EBENP01;MANFR.12;MANFR.13;EICHIG01;NÖRSACH02;NÖRSACH01;ZIRL02;MANFR.15;ZIRL01;MANFR.20;MANFR.14;MANFR.17;MANFR.18;MANFR.22;MANFR.19;MÜN01;MOE01;MÜN02;MOE02;AMP01;BRI01;KRA01;JEN02;JEN01;MANFR.16;MANFR.21;3033;SON01;AMP03;9005;6009;MANFR.23;6001;6004;SON02;6005;3003;3004;AMP02;ABS01;VOM01;BAU02;VOL01;KIR02;TER02;FRI01;MANFR.24;KIR03;VOL02;TER03;HO01;3034;STAMS01;STAMS02;STAMS03
;forest type;;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;WE6Qte;WE6Qte;WE6Qte;WE6Qte;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi
;Allium carinatum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;+;.;.;.;.;+;1;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Phyteuma betonicifolium;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;2m;+;2m;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Aster amellus;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Stachys recta;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Melittis melissophyllum;K;.;.;.;.;.;.;.;.;.;.;1;.;.;.;2m;.;.;.;1;.;.;.;.;.;.;.;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Potentilla rupestris;K;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;r;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Sedum album;K;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;1;1;.;.;+;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Festuca rupicola;;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;1;.;2b;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
;Thymus pulegioides;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Poa angustifolia;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;1;1;2m;+;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Galeopsis speciosa;K;.;r;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
;Arabis hirsuta;K;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;r;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.
;Anthericum ramosum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;1;.;.;.;+;+;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Brachypodium pinnatum agg.;K;.;.;1;+;2a;1;2a;.;+;2a;2m;.;.;2b;5;1;.;2a;.;1;.;1;+;2b;3;2b;1;2b;1;.;2m;.;.;2b;2a;.;2m;.;2m;2a;1;2a;.;2m;2b;2a;.;.;2a;+;+;.;.;.;.;.;.;.;.;.;1;.;+;.;.;.;+;.;.;.;.;+;.;.;.;.;.
;Euphorbia cyparissias;K;.;.;.;+;+;.;.;.;r;+;+;.;.;.;2m;+;+;1;.;+;1;+;1;1;+;.;r;1;+;.;.;.;.;1;1;.;.;1;1;+;.;.;+;+;+;+;.;.;.;.;+;.;.;.;r;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
;Polygala chamaebuxus;K;.;.;.;+;.;.;.;.;.;.;+;.;.;.;+;.;+;+;.;.;.;.;.;.;.;.;.;+;.;.;+;+;.;1;1;.;+;2a;+;1;+;.;+;.;1;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Origanum vulgare;K;.;.;.;.;.;.;.;.;+;+;+;.;.;.;2m;+;+;.;.;.;.;.;.;1;1;.;.;.;.;.;.;+;+;.;.;.;.;2a;+;1;.;+;.;.;+;.;.;+;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Hypericum montanum;K;.;.;.;.;+;+;+;.;.;.;+;.;.;+;1;.;.;.;.;.;.;+;+;+;+;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;+;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Achillea millefolium agg.;K;.;.;.;r;.;+;.;.;r;+;r;.;.;.;+;.;.;.;.;.;+;.;.;+;.;.;.;r;.;.;r;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;1;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Securigera varia;K;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Carex humilis;K;.;.;.;.;.;.;.;.;.;.;+;2a;.;2a;+;3;2a;2a;2m;.;.;.;.;.;.;1;1;2a;2a;3;3;3;2b;2a;2a;+;2b;2a;2a;2a;1;.;1;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Calamagrostis varia;K;.;.;.;.;.;.;.;+;.;2m;2a;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;2a;.;1;.;.;.;.;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Scabiosa columbaria;K;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;+;1;.;.;.;+;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Thymus praecox;K;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;+;1;.;+;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;+;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Teucrium chamaedrys;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;2a;.;.;.;+;+;1;+;.;.;+;.;.;+;.;1;1;2m;1;2m;2a;1;1;.;+;+;.;1;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2m;.;.;.;.;.;.;.;.;.;.;.
;Galium lucidum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;+;+;+;.;+;.;.;.;.;.;+;.;1;2m;1;1;1;.;+;.;+;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Peucedanum oreoselinum;K;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;1;+;+;1;.;r;+;.;+;+;.;+;1;.;.;+;+;2m;.;+;.;+;+;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Bromus erectus;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;2m;2a;.;.;.;.;.;.;.;.;.;.;+;.;1;.;+;1;.;.;.;.;1;.;.;1;+;+;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
;Teucrium montanum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;+;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Sesleria albicans;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2m;.;+;+;+;.;.;.;.;.;2a;1;.;1;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Rhamnus saxatilis;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;+;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Campanula rotundifolia;K;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;+;+;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Prunella grandiflora;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;1;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Erica carnea;K;.;.;.;.;.;.;.;.;.;.;+;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;1;1;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Pimpinella saxifraga;K;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;1;+;+;.;+;.;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Dorycnium germanicum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2m;1;+;1;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Molinia arundinacea agg.;K;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;2a;2a;2a;.;+;.;+;.;.;.;+;2b;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Carduus defloratus;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;+;+;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Hippocrepis emerus;H;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;1;1;1;2m;1;.;1;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Epipactis atrorubens;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;+;+;1;.;+;.;+;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Galium boreale;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;2m;.;.;1;2m;+;+;.;.;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Geranium sanguineum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;r;+;.;1;.;.;+;2a;.;+;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Laserpitium latifolium;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;+;+;.;.;.;.;.;.;.;.;+;1;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Buphthalmum salicifolium;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;+;+;+;+;+;.;1;.;+;.;.;+;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Asplenium ruta-muraria;K;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;+;+;r;+;+;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Leontodon hispidus;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Helianthemum ovatum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;r;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Bromus benekenii;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2m;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Cephalanthera rubra;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Lilium bulbiferum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;+;.;.;.;.;.;.;.;r;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Peucedanum cervaria;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Cephalanthera longifolia;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Carex alba;K;.;.;.;.;.;2b;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;2b;.;.;1;.;.;.;2b;2a;2a;2b;+;1;2a;+;+;2m;1;1;.;.;2b;.;+;1;.;.;+;3;2b;+;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.
;Melampyrum pratense;K;.;.;.;1;1;2a;.;.;.;.;.;+;.;.;.;.;.;.;.;1;+;+;.;.;.;1;.;.;.;.;.;.;+;+;.;.;2m;2a;+;+;+;+;.;+;.;.;.;.;.;.;1;.;.;.;.;.;.;1;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Mycelis muralis;K;.;.;+;.;1;.;+;.;+;+;.;.;.;.;.;.;.;.;+;+;.;.;.;+;+;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;+;+;+;+;.;+;.;.;+;.;.;.;1;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.
;Lilium martagon;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;r;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Asplenium trichomanes;K;.;.;.;.;r;.;+;.;1;.;+;+;+;1;.;+;1;+;.;+;+;1;+;1;+;.;+;1;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.
;Fragaria vesca;K;+;.;+;+;2a;.;.;.;+;1;+;.;+;+;2m;+;r;+;+;+;+;.;1;1;.;+;+;+;+;+;.;+;+;.;+;+;.;1;+;+;+;2a;+;1;.;.;+;1;.;+;2a;+;+;.;.;.;+;+;.;.;+;+;.;+;+;.;+;.;1;+;+;.;.;+;.;+;.
;Hepatica nobilis;K;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;r;.;.;.;.;.;.;1;1;.;1;+;2m;.;.;.;.;+;1;1;2a;2a;2a;.;1;.;.;+;2a;.;1;1;1;2a;2m;+;1;2a;2a;.;2a;2a;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Carex digitata;K;.;+;.;2m;2a;+;2a;.;.;.;2m;.;+;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;1;.;1;.;.;+;.;.;.;+;.;+;.;.;.;1;.;+;.;.;1;2m;1;.;.;.;.;.;2a;+;+;1;1;.;.;.;.;.;.;.;.;1;.;+;.;.;.;1;+
;Mercurialis perennis;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;2a;.;+;.;.;+;.;+;.;.;1;+;.;2a;.;.;+;.;+;2a;2a;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.
;Campanula trachelium;K;.;.;.;.;+;+;.;.;+;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;1;.;+;.;+;+;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;1;.;+;.;+;.;1;.;+;1;.;+;1;+;.;1;r;.;1;.;+;+;+;.;+;.;+;.;+;.
;Aegopodium podagraria;K;.;.;+;+;.;1;.;.;.;.;r;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;3;.;.;+;.;1;.;+;.;+;.;r;.;+;+;+;r;1;2a;1;.;3;2b;2b
;Rubus saxatilis;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;+;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Brachypodium sylvaticum;K;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2b;2a;.;.;.;.;1;+;+;1;+;+;1;.;+;.;+;.;.;.;.;.;.;.;.;+;1;.;.;.
;Epipactis helleborine;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;1;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Coronilla vaginalis;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;                      ;.;.;.;1;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Sanicula europaea;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;r;.;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Viola mirabilis;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;+;+;.;.;.;1;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.
;Daphne mezereum;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;+;.;.;.;.;+;.;.;.;+;.;+;.;+;.;.;+;.;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Angelica sylvestris;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;+;.;+;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.
;Prenanthes purpurea;K;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;1;.;.;.;.;.;.;.;.;.;1;.;.;2a;.;.;.
;Pulmonaria officinalis;K;.;.;.;.;.;+;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;1;r;.;.;+;.;2a;+;.;.;+;.;.;.;+;.;1;.;.;.;1;1;2a;+
;Polygonatum multiflorum;K;.;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;+;.;.;1;.;.;1;1;1;+;.;.;+;1;.;+;.;+;+;1;.;1;+;.;2a;1;1;1
;Galium aparine;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;r;+;.;.;1;1;.;.;.;.;.;.;.;.
;Maianthemum bifolium;K;r;+;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;+;.;.;.;.;.;.;+;.;.;2m;.;.;.;.;.;.;+;.;+;.;.;.;+;+;.;.;+;+;.;.;+;+;.
