taxon,layer,EBEN,HO02,STU01,GAS01,UNT01,MANFR.09,MANFR.10,MANFR.04,GWABL01,MANFR.07,NIKOLS02,NIKOLS01,ZAJACH01,MANFR.08,MANFR.05,EICHIG02,LAN02,LAN01,MANFR.06,HABICH01,UPEISCH01,MANFR.11,EBENP01,MANFR.12,MANFR.13,EICHIG01,NÖRSACH02,NÖRSACH01,ZIRL02,MANFR.15,ZIRL01,MANFR.20,MANFR.14,MANFR.17,MANFR.18,MANFR.22,MANFR.19,MÜN01,MOE01,MÜN02,MOE02,AMP01,BRI01,KRA01,JEN02,JEN01,MANFR.16,MANFR.21,3033,SON01,AMP03,9005,6009,MANFR.23,6001,6004,SON02,6005,3003,3004,AMP02,ABS01,VOM01,BAU02,VOL01,KIR02,TER02,FRI01,MANFR.24,KIR03,VOL02,TER03,HO01,3034,STAMS01,STAMS02,STAMS03
Hypericum montanum,hl,.,.,.,.,+,+,+,.,.,.,+,.,.,+,1,.,.,.,.,.,.,+,+,+,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,+,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Achillea millefolium agg.,hl,.,.,.,r,.,+,.,.,r,+,r,.,.,.,+,.,.,.,.,.,+,.,.,+,.,.,.,r,.,.,r,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,1,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Securigera varia,hl,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Carex humilis,hl,.,.,.,.,.,.,.,.,.,.,+,2a,.,2a,+,3,2a,2a,2m,.,.,.,.,.,.,1,1,2a,2a,3,3,3,2b,2a,2a,+,2b,2a,2a,2a,1,.,1,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Calamagrostis varia,hl,.,.,.,.,.,.,.,+,.,2m,2a,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,2a,.,1,.,.,.,.,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Scabiosa columbaria,hl,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,.,.,.,+,1,.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Thymus praecox,hl,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,+,1,.,+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,+,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Teucrium chamaedrys,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,2a,.,.,.,+,+,1,+,.,.,+,.,.,+,.,1,1,2m,1,2m,2a,1,1,.,+,+,.,1,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2m,.,.,.,.,.,.,.,.,.,.,.
Galium lucidum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,+,+,+,.,+,.,.,.,.,.,+,.,1,2m,1,1,1,.,+,.,+,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Peucedanum oreoselinum,hl,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,1,+,+,1,.,r,+,.,+,+,.,+,1,.,.,+,+,2m,.,+,.,+,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Bromus erectus,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,2m,2a,.,.,.,.,.,.,.,.,.,.,+,.,1,.,+,1,.,.,.,.,1,.,.,1,+,+,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
Teucrium montanum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,+,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sesleria albicans,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2m,.,+,+,+,.,.,.,.,.,2a,1,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rhamnus saxatilis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,+,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Campanula rotundifolia,hl,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,+,+,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prunella grandiflora,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,1,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Erica carnea,hl,.,.,.,.,.,.,.,.,.,.,+,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,.,.,.,1,1,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Pimpinella saxifraga,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,1,+,+,.,+,.,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Dorycnium germanicum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2m,1,+,1,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Molinia arundinacea agg.,hl,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2a,2a,2a,.,+,.,+,.,.,.,+,2b,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Carduus defloratus,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,+,+,+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hippocrepis emerus,hl,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,1,1,2m,1,.,1,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Epipactis atrorubens,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,+,+,1,.,+,.,+,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Galium boreale,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2m,.,.,1,2m,+,+,.,.,.,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Geranium sanguineum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,r,+,.,1,.,.,+,2a,.,+,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Laserpitium latifolium,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,+,+,.,.,.,.,.,.,.,.,+,1,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Buphthalmum salicifolium,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,+,+,+,+,+,.,1,.,+,.,.,+,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Asplenium ruta-muraria,hl,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,+,+,r,+,+,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Leontodon hispidus,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Helianthemum ovatum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,r,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Bromus benekenii,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2m,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cephalanthera rubra,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Lilium bulbiferum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,+,.,.,.,.,.,.,.,r,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Peucedanum cervaria,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cephalanthera longifolia,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Carex alba,hl,.,.,.,.,.,2b,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2b,.,.,1,.,.,.,2b,2a,2a,2b,+,1,2a,+,+,2m,1,1,.,.,2b,.,+,1,.,.,+,3,2b,+,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.
Melampyrum pratense,hl,.,.,.,1,1,2a,.,.,.,.,.,+,.,.,.,.,.,.,.,1,+,+,.,.,.,1,.,.,.,.,.,.,+,+,.,.,2m,2a,+,+,+,+,.,+,.,.,.,.,.,.,1,.,.,.,.,.,.,1,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Mycelis muralis,hl,.,.,+,.,1,.,+,.,+,+,.,.,.,.,.,.,.,.,+,+,.,.,.,+,+,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,+,+,+,+,.,+,.,.,+,.,.,.,1,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.
Lilium martagon,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,r,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Asplenium trichomanes,hl,.,.,.,.,r,.,+,.,1,.,+,+,+,1,.,+,1,+,.,+,+,1,+,1,+,.,+,1,.,.,.,.,.,.,.,.,.,.,.,.,1,+,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.
Fragaria vesca,hl,+,.,+,+,2a,.,.,.,+,1,+,.,+,+,2m,+,r,+,+,+,+,.,1,1,.,+,+,+,+,+,.,+,+,.,+,+,.,1,+,+,+,2a,+,1,.,.,+,1,.,+,2a,+,+,.,.,.,+,+,.,.,+,+,.,+,+,.,+,.,1,+,+,.,.,+,.,+,.
Hepatica nobilis,hl,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,r,.,.,.,.,.,.,1,1,.,1,+,2m,.,.,.,.,+,1,1,2a,2a,2a,.,1,.,.,+,2a,.,1,1,1,2a,2m,+,1,2a,2a,.,2a,2a,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Carex digitata,hl,.,+,.,2m,2a,+,2a,.,.,.,2m,.,+,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,1,.,1,.,.,+,.,.,.,+,.,+,.,.,.,1,.,+,.,.,1,2m,1,.,.,.,.,.,2a,+,+,1,1,.,.,.,.,.,.,.,.,1,.,+,.,.,.,1,+
Mercurialis perennis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2a,.,+,.,.,+,.,+,.,.,1,+,.,2a,.,.,+,.,+,2a,2a,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.
Campanula trachelium,hl,.,.,.,.,+,+,.,.,+,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,1,.,+,.,+,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,1,.,+,.,+,.,1,.,+,1,.,+,1,+,.,1,r,.,1,.,+,+,+,.,+,.,+,.,+,.
Aegopodium podagraria,hl,.,.,+,+,.,1,.,.,.,.,r,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,3,.,.,+,.,1,.,+,.,+,.,r,.,+,+,+,r,1,2a,1,.,3,2b,2b
Rubus saxatilis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Brachypodium sylvaticum,hl,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2b,2a,.,.,.,.,1,+,+,1,+,+,1,.,+,.,+,.,.,.,.,.,.,.,.,+,1,.,.,.
Epipactis helleborine,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,1,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coronilla vaginalis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sanicula europaea,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,r,.,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Viola mirabilis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,+,+,.,.,.,1,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
Daphne mezereum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,+,.,.,.,.,+,.,.,.,+,.,+,.,+,.,.,+,.,+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Angelica sylvestris,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,+,.,+,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.
Prenanthes purpurea,hl,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,1,.,.,2a,.,.,.
Pulmonaria officinalis,hl,.,.,.,.,.,+,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,1,r,.,.,+,.,2a,+,.,.,+,.,.,.,+,.,1,.,.,.,1,1,2a,+
Polygonatum multiflorum,hl,.,.,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,+,.,.,1,.,.,1,1,1,+,.,.,+,1,.,+,.,+,+,1,.,1,+,.,2a,1,1,1
Galium aparine,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,r,+,.,.,1,1,.,.,.,.,.,.,.,.
Maianthemum bifolium,hl,r,+,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,+,.,.,.,.,.,.,+,.,.,2m,.,.,.,.,.,.,+,.,+,.,.,.,+,+,.,.,+,+,.,.,+,+,.
Geum urbanum,hl,r,r,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,+,.,.,.,.,2a,1,1,+,1,1,+,1,+,+,1,+,+,+,1,+
Ajuga reptans,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,+,.,.,+,.,.,1,.,+,.,+,+,.,.,.,.
Viola reichenbachiana,hl,.,.,.,.,1,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,+,+,.,.,+,.,.,.,.,.,.,.,+,.,.,.,+,.
Paris quadrifolia,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,+,.,.,.,.,.,+
Anemone nemorosa,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,2b,.,.,+,.,2a,.,.,.,.,.,.,.
Impatiens parviflora,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,2b,.,+,.,.,.,2a,.,.,.,.,.,.
Galeopsis tetrahit,hl,+,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,+,.,.,+,.,+,1,.,.,.,+,.,+,+,.
Oxalis acetosella,hl,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,1,.,.,.,.,.,+,.,1,.,.,.,.,+,1,.,2m,1,1,2b,1
Actaea spicata,hl,.,.,.,.,.,+,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,+,.,+,.,.,+,.,+,.,.,.,.,.,+,+,+,+,+
Dryopteris filix-mas,hl,+,.,1,.,r,+,+,.,r,+,+,.,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,2a,.,.,.,.,.,.,.,+,1,r,+,+,1,+,+,+,1
Lamiastrum montanum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,+,2b,.,2a,.,.,+,.,.,.,.,1,3,3,2b,3,3,2b,2a
Glechoma hederacea,hl,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,+,.,.,1,.,+,1,+,.,.,.,.
Adoxa moschatellina,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,1,.,+,.,.,.,.,.,.,.
Carex muricata agg.,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2a,.,+,.,.,.,.,.,.,.,.,.,.,.
Cardamine impatiens,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,2m,r,.,+,+,+,+,.,.,.,.,.
Moehringia trinervia,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,1,.,+,.,+,.,+,.,.,.,.,.
Allium oleraceum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,+,.,.,.,.,.,.,.,.,.
Athyrium filix-femina,hl,r,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,+,.,.,+,.
Epilobium montanum,hl,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,+,+,.,.,.,.
Asarum europaeum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,+,.,.,1,1,1,1
Milium effusum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,1,1,2a,2m
