"plot";"abbr";"layer";"cov";"voucher";"comment";"history"
"H1-05";"lath prat prat";"hl";2;;;" | Changed lath prat To lath prat prat 2012-11-27 18:46:59"
"H1-05";"leon hisp hyos";"hl";4;;;
"H1-05";"leuc ircu";"hl";3;;;
"H1-05";"list ovat";"hl";3;;;
"H1-05";"lotu corn corn";"hl";3;;;
"H1-05";"pers vivi";"hl";2;;;" | Changed poly vivi To pers vivi 2012-11-27 18:46:56"
"H1-05";"phyt orbi";"hl";3;;;
"H1-05";"pice abie";"hl";1;;;
"H1-05";"pimp majo slat";"hl";3;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
"H1-05";"plan lanc";"hl";3;;;
"H1-05";"plan medi";"hl";2;;;
"H1-05";"poly amar ella";"hl";3;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H1-05";"pote erec";"hl";3;;;
"H1-05";"prim fari";"hl";1;;;
"H1-05";"prun vulg";"hl";2;;;
"H1-05";"ranu acri acri";"hl";3;;;
"H1-05";"ranu nemo";"hl";3;;;
"H1-05";"sesl caer";"hl";3;;;" | Changed sesl albi To sesl caer 2012-11-27 18:46:58"
"H1-05";"tara sect alpi";"hl";3;;;
"H1-05";"thym prae prae";"hl";2;"2009-0079";;
"H1-05";"trif prat prat";"hl";4;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H1-05";"trif repe repe";"hl";3;;;
"H1-06";"acer pseu";"hl";2;;;
"H1-06";"achi mill";"hl";3;;;
"H1-06";"alch spec ies";"hl";2;;;" | Changed alch vulg To alch spec ies 2012-11-27 18:46:55"
"H1-06";"briz medi";"hl";4;;;
"H1-06";"care cary";"hl";3;;;
"H1-06";"care flac";"hl";3;;;
"H1-06";"care flav aggr";"hl";3;;;" | Changed care flav To care flav aggr 2012-11-27 18:46:59"
"H1-06";"care host";"hl";4;;;
"H1-06";"care orni orni";"hl";3;;;
"H1-06";"care pani";"hl";6;;;
"H1-06";"cent jace jace";"hl";5;;;
"H1-06";"cera holo";"hl";2;;;
"H1-06";"desc cesp";"hl";3;;;
"H1-06";"fest prat prat";"hl";5;;;
"H1-06";"fest rubr rubr";"hl";3;;;
"H1-06";"gali albu";"hl";3;;;
"H1-06";"leon hisp hyos";"hl";4;;;
"H1-06";"leuc ircu";"hl";3;;;
"H1-06";"lotu corn corn";"hl";3;;;
"H1-06";"pers vivi";"hl";3;;;" | Changed poly vivi To pers vivi 2012-11-27 18:46:56"
"H1-06";"pimp saxi slat";"hl";3;;;" | Changed pimp saxi To pimp saxi slat 2012-11-27 18:46:58"
"H1-06";"plan lanc";"hl";3;;;
"H1-06";"plan majo majo";"hl";2;;;" | Changed plan majo To plan majo majo 2012-11-27 18:46:59"
"H1-06";"plan medi";"hl";3;;;
"H1-06";"poa prat";"hl";3;;;
"H1-06";"poly amar ella";"hl";3;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H1-06";"pote erec";"hl";3;;;
"H1-06";"prun vulg";"hl";3;;;
"H1-06";"ranu acri acri";"hl";3;;;
"H1-06";"ranu nemo";"hl";3;;;
"H1-06";"sali appe";"hl";1;;;
"H1-06";"sesl caer";"hl";2;;;" | Changed sesl albi To sesl caer 2012-11-27 18:46:58"
"H1-06";"sile dioi";"hl";2;;;
"H1-06";"tofi caly";"hl";2;;;
"H1-06";"trif prat prat";"hl";4;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H1-06";"trif repe repe";"hl";3;;;
"H1-07";"acer pseu";"hl";1;;;
"H1-07";"briz medi";"hl";3;;;
"H1-07";"care cary";"hl";3;;;
"H1-07";"care ferr";"hl";2;;;
"H1-07";"care flac";"hl";3;;;
"H1-07";"care host";"hl";3;;;
"H1-07";"care orni orni";"hl";2;;;
"H1-07";"care pani";"hl";5;;;
"H1-07";"cent jace jace";"hl";4;;;
"H1-07";"desc cesp";"hl";2;;;
"H1-07";"fest prat prat";"hl";3;;;
"H1-07";"gymn cono cono";"hl";1;;;" | Changed gymn cono To gymn cono cono 2012-11-27 18:46:57"
"H1-07";"leon hisp hyos";"hl";4;"2009-0080";;
"H1-07";"leuc ircu";"hl";3;;;
"H1-07";"lotu corn corn";"hl";3;;;
"H1-07";"pers vivi";"hl";3;;;" | Changed poly vivi To pers vivi 2012-11-27 18:46:56"
"H1-07";"plan lanc";"hl";3;;;
