plot;abbr;layer;cov;voucher.flag;voucher;sheets;history
tc13a;plan medi;hl;1;;;;
tc13a;poa prat;hl;1;;;;
tc13a;poa triv;hl;1;;;;
tc13a;prun vulg;hl;+;;;;
tc13a;ranu acri acri;hl;+;;;; | Changed ranu acri To ranu acri acri 2012-11-27 16:08:04
tc13a;salv prat prat;hl;+;;;; | Changed salv prat To salv prat prat 2012-11-27 16:08:04
tc13a;sile vulg vulg;hl;+;;;; | Changed sile vulg v To sile vulg vulg 2012-11-27 16:08:04
tc13a;thal minu slat;hl;2m;;;; | Changed thal minu To thal minu slat 2012-11-27 16:08:05
tc13a;trif prat prat;hl;2a;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc13a;tris flav flav;hl;1;;;; | Changed tris flav To tris flav flav 2012-11-27 16:08:04
tc13a;vici sepi;hl;+;;;;
tc14a;ange sylv sylv;hl;+;;;; | Changed ange sylv To ange sylv sylv 2012-11-27 16:08:05
tc14a;briz medi;hl;+;;;;
tc14a;bryu pseu pseu;ml;1;;;; | Changed bryu pseu To bryu pseu pseu 2012-11-27 16:08:05
tc14a;calt palu;hl;+;;;;
tc14a;camp stel;ml;2a;;;;
tc14a;care elat;hl;2a;;;;
tc14a;care pani;hl;+;;;;
tc14a;cirs palu;hl;+;;;;
tc14a;dact maja brev;hl;+;;;; | Changed dact maja b To dact maja brev 2012-11-27 16:08:05
tc14a;scor coss;ml;2a;;;; | Changed drep coso To scor coss 2012-11-27 16:08:05
tc14a;scor revo;ml;3;;;; | Changed drep revo To scor revo 2012-11-27 16:08:05
tc14a;epip palu;hl;1;;;;
tc14a;equi vari;hl;+;;;;
tc14a;fest tric;hl;+;voucher;3;;
tc14a;fiss adia;ml;+;;;;
tc14a;gali bore;hl;+;;;;
tc14a;gali palu palu;hl;+;;;; | Changed gali palu To gali palu palu 2012-11-27 16:08:05
tc14a;gali ulig;hl;+;;;;
tc14a;gymn cono cono;hl;+;;;; | Changed gymn cono To gymn cono cono 2012-11-27 16:08:05
tc14a;lath prat prat;hl;1;;;; | Changed lath prat To lath prat prat 2012-11-27 16:08:04
tc14a;linu cath;hl;+;;;;
tc14a;ment arve;hl;+;;;;
tc14a;moli caer aggr;hl;2a;;;; | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05
tc14a;palu comm comm;ml;+;;;; | Changed palu comm To palu comm comm 2012-11-27 16:08:05
tc14a;parn palu;hl;+;;;;
tc14a;phra aust;hl;4;;;;
tc14a;phyt orbi;hl;1;;;;
tc14a;pinu sylv;hl;+;;;;
tc14a;poly amar ella;hl;+;;;; | Changed poly amae To poly amar ella 2012-11-27 16:08:05
tc14a;pers bist;hl;+;;;; | Changed poly bist To pers bist 2012-11-27 16:08:05
tc14a;pote erec;hl;1;;;;
tc14a;prun vulg;hl;+;;;;
tc14a;ranu nemo;hl;+;;;;
tc14a;rhin mino;hl;+;;;;
tc14a;sali repe rosm;hl;+;;;; | Changed sali rosm To sali repe rosm 2012-11-27 16:08:05
tc14a;sang offi;hl;+;;;;
tc14a;scor scor;ml;1;;;;
tc14a;sesl caer;hl;1;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
tc14a;succ prat;hl;1;;;;
tc14a;tome nite;ml;1;;;;
tc14a;trig palu;hl;+;;;;
tc14a;vale dioi dioi;hl;+;;;; | Changed vale dioi To vale dioi dioi 2012-11-27 16:08:05
tc14a;vici crac;hl;+;;;;
tc14b;achi rose;hl;1;;;;
tc14b;alli cari cari;hl;+;;;; | Changed alli cari To alli cari cari 2012-11-27 16:08:05
tc14b;ange sylv sylv;hl;+;;;; | Changed ange sylv To ange sylv sylv 2012-11-27 16:08:05
tc14b;anth ramo;hl;+;;;;
tc14b;brac rupe;hl;1;;;;
tc14b;briz medi;hl;1;;;;
tc14b;brom erec;hl;+;;;;
tc14b;care cary;hl;+;;;;
tc14b;care elat;hl;+;;;;
tc14b;care flac;hl;+;;;;
tc14b;care mont;hl;2b;;;;
tc14b;care pani;hl;r;;;;
tc14b;colc autu;hl;2a;;;;
tc14b;epip palu;hl;+;;;;
tc14b;fest amet amet;hl;+;;;; | Changed fest amet To fest amet amet 2012-11-27 16:08:04
tc14b;fest brev;hl;+;;;;
tc14b;gali bore;hl;3;;;;
tc14b;gali luci;hl;+;;;;
tc14b;gali wirt;hl;+;;;;
tc14b;geum riva;hl;+;;;;
tc14b;aven prae;hl;+;;;; | Changed heli prae To aven prae 2012-11-27 16:08:05
tc14b;hipp como;hl;+;;;;
tc14b;koel pyra pyra;hl;+;;;; | Changed koel pyra To koel pyra pyra 2012-11-27 16:08:04
tc14b;lath prat prat;hl;+;;;; | Changed lath prat To lath prat prat 2012-11-27 16:08:04
tc14b;leuc vulg;hl;+;;;;
tc14b;lotu corn;hl;1;;;;
tc14b;medi falc;hl;1;;;;
tc14b;moli caer aggr;hl;1;;;; | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05
tc14b;phyt orbi;hl;1;;;;
tc14b;poa prat;hl;+;;;;
tc14b;poly odor;hl;1;;;;
tc14b;pote erec;hl;2m;;;;
tc14b;rhin mino;hl;2a;;;;
tc14b;scab colu;hl;1;;;;
tc14b;thes pyre alpe;hl;+;;;; | Changed thes pyre a To thes pyre alpe 2012-11-27 16:08:05
tc14b;trif prat prat;hl;1;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc14b;trol euro;hl;2a;;;;
tc14b;vici crac;hl;+;;;;
tc15a;achi mill aggr;hl;2m;;;; | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03
tc15a;anth vuln slat;hl;+;;;; | Changed anth vuln To anth vuln slat 2012-11-27 16:08:03
tc15a;arrh elat;hl;1;;;;
tc15a;homa pube pube;hl;+;;;; | Changed aven pube To homa pube pube 2012-11-27 16:08:03
tc15a;briz medi;hl;+;;;;
tc15a;brom erec;hl;2a;;;;
tc15a;camp glom;hl;+;;;;
tc15a;care cary;hl;+;;;;
tc15a;caru carv;hl;+;;;;
tc15a;cent jace jace;hl;+;;;; | Changed cent jace To cent jace jace 2012-11-27 16:08:04
tc15a;dact glom glom;hl;1;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
