plot;variable;value
tc33a;soil;Grauer Auboden
tc33a;comment;
tc34a;plsx;5
tc34a;plsy;4
tc34a;exp;W
tc34a;slope;1
tc34a;htl;6
tc34a;hss;3
tc34a;hhl;1,5
tc34a;cov;95
tc34a;tcov;12
tc34a;scov;8
tc34a;hcov;85
tc34a;mcov;15
tc34a;longitude;10,842138
tc34a;latitude;47,29245
tc34a;location;Tschirgant
tc34a;location.verbose;
tc34a;soil;
tc34a;comment;
tc35a;plsx;5
tc35a;plsy;4
tc35a;exp;W
tc35a;slope;3
tc35a;htl;8
tc35a;hss;4
tc35a;hhl;1
tc35a;cov;98
tc35a;tcov;9
tc35a;scov;5
tc35a;hcov;60
tc35a;mcov;15
tc35a;longitude;10,842996
tc35a;latitude;47,293714
tc35a;location;Tschirgant
tc35a;location.verbose;
tc35a;soil;
tc35a;comment;
tc36a;plsx;5
tc36a;plsy;4
tc36a;exp;NW
tc36a;slope;5
tc36a;htl;0
tc36a;hss;0
tc36a;hhl;1,5
tc36a;cov;95
tc36a;tcov;90
tc36a;scov;5
tc36a;hcov;60
tc36a;mcov;5
tc36a;longitude;10,843087
tc36a;latitude;47,294937
tc36a;location;Tschirgant
tc36a;location.verbose;
tc36a;soil;
tc36a;comment;
tc37a;plsx;25
tc37a;plsy;25
tc37a;exp;N
tc37a;slope;30
tc37a;htl;0
tc37a;hss;4
tc37a;hhl;50
tc37a;cov;90
tc37a;tcov;0
tc37a;scov;40
tc37a;hcov;70
tc37a;mcov;65
tc37a;longitude;10,843366
tc37a;latitude;47,290888
tc37a;location;Tschirgant
tc37a;location.verbose;Naturverjuegung in Schottergrube
tc37a;soil;
tc37a;comment;
tc38a;plsx;3
tc38a;plsy;4
tc38a;exp;F
tc38a;slope;0
tc38a;htl;0
tc38a;hss;0
tc38a;hhl;0,75
tc38a;cov;95
tc38a;tcov;0
tc38a;scov;0
tc38a;hcov;90
tc38a;mcov;50
tc38a;longitude;10,840352
tc38a;latitude;47,293663
tc38a;location;Tschirgant
tc38a;location.verbose;zentral
tc38a;soil;Anmoor
tc38a;comment;
tc39a;plsx;6
tc39a;plsy;20
tc39a;exp;F
tc39a;slope;0
tc39a;htl;6
tc39a;hss;3
tc39a;hhl;1
tc39a;cov;100
tc39a;tcov;50
tc39a;scov;70
tc39a;hcov;80
tc39a;mcov;20
tc39a;longitude;10,841375
tc39a;latitude;47,294252
tc39a;location;Tschirgant
tc39a;location.verbose;beiderseits an Graben
tc39a;soil;
tc39a;comment;
tc39b;plsx;8
tc39b;plsy;30
tc39b;exp;F
tc39b;slope;0
tc39b;htl;10
tc39b;hss;5
tc39b;hhl;1,5
tc39b;cov;100
tc39b;tcov;65
tc39b;scov;50
tc39b;hcov;80
tc39b;mcov;20
tc39b;longitude;10,843285
tc39b;latitude;47,296222
tc39b;location;Tschirgant
tc39b;location.verbose;beiderseits an Graben
tc39b;soil;
tc39b;comment;
tc3a;plsx;10
tc3a;plsy;20
tc3a;exp;SE
