taxon;abbr;layer;comment;23-W-L;24-W-L;25-W-L;26-Wi-L;27-W-L;28-W-M;29-W-M;30-W-L;31-W-L;45-La-W;46-La-W;47-W-L;55-W-M;56-W-M
Trifolium pratense;trif prat prat;hl;;;;2a;2a;;;;;;;;;;
Trifolium repens;trif repe repe;hl;;;;2a;;;;;;;;;;;
Trisetum flavescens;tris flav flav;hl;;;;2a;2a;;;;;;;;;;
Tussilago farfara;tuss farf;hl;;;;;;;;;;;;;;;
Ulmus glabra;ulmu glab;hl;;;;;;+;;;;;;;;;
Ulmus laevis;ulmu laev;hl;;;;;;+;;;;;;;;;
Ulmus minor;ulmu mino mino;hl;;;;;;;;;;;;;;;
Urtica dioica;urti dioi dioi;hl;;2a;;;;;4;2a;;;;2b;;2a;
Valeriana officinalis;vale offi slat;hl;;;;;;;;;;;;;;;
Verbascum spec;verb spec ies;hl;;;;;;;;;;;;;;;
Veronica agrestis;vero agra;hl;;;;;;;;;;;;;;;
Veronica arvensis;vero arve;hl;;;;;;;;;;;;;;;
Veronica becca bunga;vero becc;hl;;;;;;;;;;;;;;;
Veronica chamaedrys;vero cham cham;hl;;;;;;;;;;;;;;;
Viburnum lantana;vibu lant;hl;;;2a;;;+;;;;;;;;;
Viburnum opulus;vibu opul;hl;;;;;;;;;;;;;;;
Vicia cracca;vici crac;hl;;;;+;;;;;;;;;;;
Vicia spec;vici spec ies;hl;;+;+;;;;;;;;;;;;
Vinca minor;vinc mino;hl;;;;;;;;;;;;;;;2a
Viola reichenbachiana;viol reic;hl;;;;;;2a;;;;;;;;;
Viola spec;viol spec ies;hl;;;;;;;;;;;;;;;+
