taxon;abbr;layer;comment;3-W-Fe;4-Wi-Fe;5-Wi-Fe;6-Wi-Fe;7-Wi-Fe;20-Wi-F;21-G-F;21b-W-F;22-W-F;22b-G-F;38-F-G;39-F-W;40-F-W;41-F-Wi;42-F-W;43-F-W;61-V-F;62-G-F;63-G-F;64-W-F;65-W-F;66-W-F;67-G-F;68-W-M;69-W-M;70-W-F;71-W-F;72-W-F;73-TR-F;74-G-F;75-W-F;76-Wi-F;77-G-F;77a-G-F;87-G-F;87a-G-F;88-W-F;89-W-F;90-G-F
Lolium perenne;loli pere;hl;;;;;;1;2b;2a;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lonicera xylosteum;loni xylo;sl;;;;;;;;;2a;2a;;;2a;;;;;;;2a;2a;3;;2a;2a;;2a;2a;2a;;;;;;;;;;;
Lonicera xylosteum;loni xylo;hl;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotus corniculatus;lotu corn slat;hl;;;;;;+;;;;;r;2a;;;;;;;;;;;;;;;;;;+;;;+;+;;;+;;;+
Lysimachia nummularia;lysi numm;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Lythrum salicaria;lyth sali;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;;;;
Medicago × varia;medi vari;hl;;;;;2a;+;;;;;+;2a;;;;;;;;;;;;;;;;;;2a;;;;;;;+;;;
Medicago falcata;medi falc;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;
Medicago lupulina;medi lupu;hl;;+;;+;;+;+;;;;;+;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;+
Melampyrum nemorosum;mela nemo;hl;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;
Mentha longifolia;ment long;hl;;;;;;;;;;;;;;;+;;;;;;2a;;;;;;;;;;;;;;;;;;;
Mercurialis perennis;merc pere;hl;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;;;;;;;
Orchis militaris;orch mili;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;
Origanum vulgare;orig vulg;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;2a;;;2a;;;
Paris quadrifolia;pari quad;hl;;;;;;;;;;;;;;;;;;;;;;;2b;;2a;+;;;+;;;;;;;;;;;
Pastinaca sativa;past sati sati;hl;;2a;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Petasites hybridus;peta hybr;hl;;;;;;;;;;;;;;;;;2b;;;;;;;;;;;;;;;;;;;;;;;
Phalaris arundinacea;phal arun;hl;;;;;;;;2a;;;+;3;;;3;;1;2a;2b;2a;4;+;;2a;;;;;;;;2a;;3;;4;;4;2b;
Phleum pratense;phle prat;hl;;1;;;;1;2a;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;
Phragmites australis;phra aust;hl;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2b;;;;;;;;;
Phyteuma spicatum;phyt spic spic;hl;;;;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Picea abies;pice abie;tl1;;;;;;;;;;;;;2a;4;;;;;;;;;2b;;3;2b;;;;;;;;;;;;;;
Picea abies;pice abie;tl2;;;;;;;;;2a;;;;;2a;;;;;;2a;;;;;;;2a;;;;;;;;;;;;;
Picris hieracioides;picr hier slat;hl;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;+;;;;;;;
Pimpinella saxifraga;pimp saxi slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;
Plantago lanceolata;plan lanc;hl;;2a;2b;2a;;2a;2a;;;;+;+;;;;;;;;;;;;;;;;;;;;;2a;;;;2a;;;
Plantago major;plan majo slat;hl;;+;;;;+;;2a;;;;+;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;
Plantago media;plan medi;hl;;;;;;+;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Poa annua;poa annu;hl;;;;;;+;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;
Poa compressa;poa comp;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;+;;;;
