plot;block;alliance;association;plot.size;utm.location;latitude;longitude;accuracy;altitide;aspect;slope;cov;tcov;scov;hcov;mcov;htl;hsl;hhl
96;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;15;33TUN5903297233;47.813000N;13.116996E;20;1000;158;30;90;35;5;85;0;10;2;0.8
74;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;50;33TUN5933597563;47.816034N;13.120935E;20;985;180;45;85;35;0;80;0;10;0;0.8
31;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;25;33TUN5968697582;47.816282N;13.125615E;20;910;180;30;80;20;0;70;0;10;0;0.6
113;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;25;33TUN5929897479;47.815271N;13.120468E;20;980;158;40;95;60;0;75;0;10;0;0.4
56;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;16;33TUN5941197534;47.815790N;13.121959E;20;940;113;50;75;50;0;65;10;25;0;0.6
2;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;15;33TUN5983697567;47.816180N;13.127622E;20;920;180;40;95;80;0;60;15;10;0;1.4
62;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;90;33TUN5927997448;47.814988N;13.120224E;20;985;90;40;95;60;0;85;0;20;0;0.5
90;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;200;33TUN5963597567;47.816136N;13.124939E;20;910;180;40;90;80;10;50;2;30;4;1
89;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;250;33TUN5959397558;47.816046N;13.124381E;20;920;180;30;90;80;5;50;0;20;2;0.5
32;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;170;33TUN5968697582;47.816282N;13.125615E;20;915;203;40;90;70;0;50;0;10;0;0.6
36;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;100;33TUN5962197576;47.816214N;13.124749E;20;910;270;10;95;50;0;85;0;20;0;0.4
55;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;90;33TUN5946997559;47.816028N;13.122725E;20;940;113;45;90;40;0;70;0;20;0;0.6
42;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;160;33TUN5960797574;47.816193N;13.124562E;20;905;180;30;90;65;0;70;0;12;0;0.2
10;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;120;33TUN5972997567;47.816156N;13.126194E;20;920;180;25;90;50;0;50;0;10;0;0.4
59;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;70;33TUN5928797422;47.814756N;13.120339E;20;980;45;35;70;70;0;65;10;20;0;0.5
50;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;100;33TUN5947297555;47.815992N;13.122766E;20;940;113;35;90;50;0;75;0;20;0;0.7
40;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;100;33TUN5960197574;47.816191N;13.124482E;20;910;338;30;90;70;0;80;5;8;0;0.8
86;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;450;33TUN5956897553;47.815995N;13.124049E;20;915;158;35;95;85;0;55;0;20;0;1
37;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;200;33TUN5960197567;47.816128N;13.124485E;20;910;158;10;95;70;0;50;5;15;0;0.3
60;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;120;33TUN5939597477;47.815274N;13.121763E;20;950;113;45;90;60;0;70;0;20;0;0.6
54;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;130;33TUN5947897572;47.816146N;13.122841E;20;920;113;30;90;50;0;75;0;20;0;1.3
3;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;150;33TUN5982097555;47.816068N;13.127412E;20;920;23;45;80;70;0;30;10;12;0;0.3
88;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;330;33TUN5953297538;47.815852N;13.123573E;20;920;23;40;85;65;1;60;5;20;2;0.3
38;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;150;33TUN5958197560;47.816061N;13.124220E;20;910;158;10;90;60;0;50;0;10;0;0.35
44;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;90;33TUN5951297540;47.815866N;13.123305E;20;925;90;50;90;70;0;45;0;20;0;0.4
39;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;60;33TUN5958197560;47.816061N;13.124220E;20;910;158;30;90;70;0;40;0;15;0;0.2
45;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;120;33TUN5948997527;47.815744N;13.123002E;20;925;158;20;95;65;0;45;0;25;0;0.4
63;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;60;33TUN5927597453;47.815032N;13.120169E;20;985;135;15;80;70;0;40;10;20;0;0.3
97;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;140;33TUN5903097167;47.812406N;13.116991E;20;920;90;30;95;85;0;30;5;30;0;0.4
98;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;200;33TUN5946997544;47.815893N;13.122730E;20;930;158;40;85;85;0;10;0;20;0;0.4
72;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;50;33TUN5930897548;47.815893N;13.120579E;20;985;68;65;90;70;0;35;10;15;0;0.2
16;12;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. geschlossene Ausbildung;25;33TUN5920497325;47.813865N;13.119263E;20;975;315;55;70;60;0;20;50;20;0;0.3
