"plot";"abbr";"layer";"cov";"scale";"history"
"gm18b";"cory avel";"sl";"1";"";""
"gm18b";"crat laev laev";"sl";"+";"";" | Changed crat laev To crat laev laev 2012-11-27 01:00:27"
"gm18b";"frax exce";"sl";"+";"";""
"gm18b";"pice abie";"sl";"+";"";""
"gm18b";"prun padu padu";"sl";"+";"";" | Changed prun padu To prun padu padu 2012-11-27 01:00:27"
"gm18b";"rosa arve";"sl";"+";"";""
"gm18b";"rosa cani";"sl";"+";"";""
"gm18b";"sali capr";"sl";"+";"";""
"gm18b";"sali frag";"sl";"+";"";""
"gm18b";"sali purp";"sl";"+";"";""
"gm18b";"ulmu glab";"sl";"+";"";""
"gm18b";"alnu inca";"tl";"4";"";""
"gm18b";"betu pend";"tl";"1";"";""
"gm18b";"clem vita";"tl";"+";"";""
"gm18b";"frax exce";"tl";"1";"";""
"gm18b";"sali capr";"tl";"2b";"";""
"gm18b";"sali frag";"tl";"1";"";""
"gm18b";"sali purp";"tl";"1";"";""
"gm1a";"achi mill";"hl";"+";"";""
"gm1a";"ajug rept";"hl";"+";"";""
"gm1a";"alch sect alch";"hl";"1";"";" | Changed alch vulg To alch sect alch 2012-11-27 01:00:27"
"gm1a";"anem nemo";"hl";"r";"";""
"gm1a";"anth odor";"hl";"1";"";""
"gm1a";"arrh elat";"hl";"2a";"";""
"gm1a";"homa pube pube";"hl";"2a";"";" | Changed aven pube To homa pube pube 2012-11-27 01:00:27"
"gm1a";"bell pere";"hl";"+";"";""
"gm1a";"beto offi offi";"hl";"+";"";" | Changed beto offi To beto offi offi 2012-11-27 01:00:27"
"gm1a";"briz medi";"hl";"+";"";""
"gm1a";"camp patu patu";"hl";"1";"";""
"gm1a";"care cary";"hl";"1";"";""
"gm1a";"care flac";"hl";"+";"";""
"gm1a";"care pall";"hl";"1";"";""
"gm1a";"care sylv";"hl";"1";"";""
"gm1a";"cent jace jace";"hl";"1";"";" | Changed cent jace To cent jace jace 2012-11-27 01:00:27"
"gm1a";"cera holo";"hl";"+";"";""
"gm1a";"crep bien";"hl";"+";"";""
"gm1a";"cyno cris";"hl";"1";"";""
"gm1a";"dact glom glom";"hl";"1";"";" | Changed dact glom To dact glom glom 2012-11-27 01:00:27"
"gm1a";"fest nigr cens";"hl";"+";"";" | Changed fest nigr To fest nigr cens 2012-11-27 01:00:27"
"gm1a";"fest prat prat";"hl";"2a";"";" | Changed fest prat To fest prat prat 2012-11-27 01:00:27"
"gm1a";"fest rubr";"hl";"2a";"";""
"gm1a";"frag vesc";"hl";"+";"";""
"gm1a";"gali albu";"hl";"+";"";""
"gm1a";"hera spho spho";"hl";"+";"";" | Changed hera spho To hera spho spho 2012-11-27 01:00:27"
"gm1a";"holc lana";"hl";"1";"";""
"gm1a";"knau arve arve";"hl";"+";"";" | Changed knau arve To knau arve arve 2012-11-27 01:00:27"
"gm1a";"leon hisp slat";"hl";"2b";"";" | Changed leon hisp To leon hisp slat 2012-11-27 01:00:27"
"gm1a";"leuc ircu";"hl";"1";"";""
"gm1a";"linu cath";"hl";"+";"";""
"gm1a";"lotu corn";"hl";"+";"";""
"gm1a";"luzu camp";"hl";"+";"";""
"gm1a";"lych flos cucu";"hl";"+";"";" | Changed lych flos To lych flos cucu 2012-11-27 01:00:27"
"gm1a";"pimp majo majo";"hl";"+";"";" | Changed pimp majo To pimp majo majo 2012-11-27 01:00:27"
"gm1a";"plan lanc";"hl";"1";"";""
"gm1a";"poa prat";"hl";"1";"";""
"gm1a";"poly vulg vulg";"hl";"1";"";""
"gm1a";"prun vulg";"hl";"+";"";""
"gm1a";"ranu acri acri";"hl";"+";"";" | Changed ranu acri To ranu acri acri 2012-11-27 01:00:28"
"gm1a";"ranu nemo";"hl";"1";"";""
"gm1a";"ranu repe";"hl";"+";"";""
"gm1a";"rhin alec alec";"hl";"+";"";" | Changed rhin alec To rhin alec alec 2012-11-27 01:00:28"
"gm1a";"rhin mino";"hl";"1";"";""
"gm1a";"tara sect rude";"hl";"+";"";" | Changed tara offi To tara sect rude 2012-11-27 01:00:28"
"gm1a";"trif medi medi";"hl";"1";"";" | Changed trif medi To trif medi medi 2012-11-27 01:00:27"
"gm1a";"trif prat prat";"hl";"2a";"";" | Changed trif prat To trif prat prat 2012-11-27 01:00:28"
"gm1a";"trif repe repe";"hl";"1";"";""
"gm1a";"tris flav flav";"hl";"+";"";" | Changed tris flav To tris flav flav 2012-11-27 01:00:28"
"gm1a";"vero cham cham";"hl";"+";"";" | Changed vero cham To vero cham cham 2012-11-27 01:00:27"
"gm1a";"vici crac";"hl";"+";"";""
"gm1b";"achi mill";"hl";"1";"";""
"gm1b";"alch sect alch";"hl";"+";"";" | Changed alch vulg To alch sect alch 2012-11-27 01:00:27"
"gm1b";"anth odor";"hl";"1";"";""
"gm1b";"arrh elat";"hl";"1";"";""
"gm1b";"homa pube pube";"hl";"2a";"";" | Changed aven pube To homa pube pube 2012-11-27 01:00:27"
"gm1b";"bell pere";"hl";"+";"";""
"gm1b";"camp patu patu";"hl";"+";"";""
"gm1b";"care cary";"hl";"+";"";""
"gm1b";"care pall";"hl";"1";"";""
"gm1b";"care sylv";"hl";"2b";"";""
"gm1b";"cent jace jace";"hl";"1";"";" | Changed cent jace To cent jace jace 2012-11-27 01:00:27"
"gm1b";"cera holo";"hl";"+";"";""
"gm1b";"crep bien";"hl";"1";"";""
"gm1b";"crep moll slat";"hl";"+";"";" | Changed crep moll To crep moll slat 2012-11-27 01:00:28"
"gm1b";"cruc laev";"hl";"+";"";""
"gm1b";"cyno cris";"hl";"3";"";""
"gm1b";"dact glom glom";"hl";"1";"";" | Changed dact glom To dact glom glom 2012-11-27 01:00:27"
"gm1b";"fest prat prat";"hl";"1";"";" | Changed fest prat To fest prat prat 2012-11-27 01:00:27"
"gm1b";"fest rubr";"hl";"2b";"";""
"gm1b";"gali albu";"hl";"+";"";""
"gm1b";"hera spho spho";"hl";"+";"";" | Changed hera spho To hera spho spho 2012-11-27 01:00:27"
"gm1b";"holc lana";"hl";"1";"";""
"gm1b";"lath prat prat";"hl";"+";"";" | Changed lath prat To lath prat prat 2012-11-27 01:00:27"
"gm1b";"leon hisp slat";"hl";"2b";"";" | Changed leon hisp To leon hisp slat 2012-11-27 01:00:27"
"gm1b";"leuc ircu";"hl";"+";"";""
"gm1b";"lotu corn";"hl";"+";"";""
"gm1b";"luzu camp";"hl";"+";"";""
"gm1b";"pimp majo majo";"hl";"+";"";" | Changed pimp majo To pimp majo majo 2012-11-27 01:00:27"
"gm1b";"plan lanc";"hl";"1";"";""
"gm1b";"poa prat";"hl";"1";"";""
"gm1b";"poly vulg vulg";"hl";"+";"";""
