plot;abbr;layer;cov;comment;voucher;history
mb03;acer plat;sl;1;;;
mb03;acer pseu;sl;2a;;;
mb03;carp betu;sl;1;;;
mb03;corn mas;sl;+;;;
mb03;corn sang slat;sl;1;;;
mb03;cory avel;sl;+;;;
mb03;coto diva;sl;+;;;
mb03;crat laev laev;sl;1;;;
mb03;crat mono;sl;+;;;
mb03;euon euro;sl;+;;;
mb03;euon lati;sl;+;;;
mb03;fagu sylv;sl;+;;;
mb03;ligu vulg;sl;2a;;;
mb03;loni xylo;sl;1;;;
mb03;rham cath;sl;+;;;
mb03;rosa arve;sl;+;;;
mb03;sorb aria;sl;+;;;
mb03;sorb aucu aucu;sl;+;;;
mb03;taxu bacc;sl;+;;;
mb03;tili cord;sl;2a;;;
mb03;ulmu glab;sl;1;;;
mb03;vibu lant;sl;1;;;
mb03;acer plat;tl1;2a;;;
mb03;fagu sylv;tl1;2a;;;
mb03;frax exce;tl1;2b;;;
mb03;quer robu;tl1;2a;;;
mb03;tili cord;tl1;2b;;;
mb03;acer plat;tl2;2a;;;
mb03;acer pseu;tl2;1;;;
mb03;carp betu;tl2;2b;;;
mb03;frax exce;tl2;2a;;;
mb03;hede heli;tl2;2a;;;
mb03;sorb aria;tl2;2a;;;
mb03;tili cord;tl2;3;;;
mb03;visc albu;tl2;+;;;
mb04;acer plat;hl;+;;;
mb04;acer pseu;hl;+;;;
mb04;anem nemo;hl;+;;;
mb04;apos foet;hl;r;;;
mb04;brac sylv;hl;+;;;
mb04;cala vari;hl;+;;;
mb04;care digi;hl;+;;;
mb04;care flac;hl;+;;;
mb04;care mont;hl;1;;;
mb04;carp betu;hl;+;;;
mb04;corn sang slat;hl;+;;;
mb04;crat mono;hl;+;;;
mb04;fagu sylv;hl;+;;;
mb04;frag vesc;hl;+;;;
mb04;frax exce;hl;+;;;
mb04;hede heli;hl;2a;;;
mb04;hepa nobi;hl;+;;;
mb04;hier muro;hl;r;;;
mb04;ligu vulg;hl;1;;;
mb04;loni xylo;hl;+;;;
mb04;prun aviu slat;hl;+;;;
mb04;quer robu;hl;+;;;
mb04;rham cath;hl;+;;;
mb04;rosa arve;hl;+;;;
mb04;soli virg virg;hl;+;;;
mb04;sorb aria;hl;+;;;
mb04;sorb aucu aucu;hl;+;;;
mb04;taxu bacc;hl;+;;;
mb04;tili ×vul;hl;+;;;
mb04;tili cord;hl;+;;;
mb04;ulmu glab;hl;+;;;
mb04;vibu lant;hl;r;;;
mb04;poly form;ml;1;;;
mb04;acer plat;sl;2a;;;
mb04;carp betu;sl;2a;;;
mb04;corn sang slat;sl;+;;;
mb04;coto diva;sl;r;;;
mb04;crat laev laev;sl;+;;;
mb04;crat mono;sl;+;;;
mb04;euon euro;sl;r;;;
mb04;fagu sylv;sl;+;;;
mb04;frax exce;sl;+;;;
mb04;ligu vulg;sl;+;;;
mb04;loni xylo;sl;+;;;
mb04;prun aviu slat;sl;1;;;
mb04;rham cath;sl;+;;;
mb04;sorb aria;sl;+;;;
mb04;sorb aucu aucu;sl;+;;;
mb04;taxu bacc;sl;+;;;
mb04;tili ×vul;sl;1;;;
mb04;tili cord;sl;1;;;
mb04;ulmu glab;sl;+;;;
mb04;vibu lant;sl;r;;;
mb04;quer robu;tl1;3;;;
mb04;acer plat;tl2;+;;;
mb04;carp betu;tl2;1;;;
mb04;hede heli;tl2;+;;;
mb04;tili ×vul;tl2;+;;;
mb04;tili cord;tl2;1;;;
