"abbr";"layer";"comment";"lb01b";"lb01a";"lb05d";"lb05c";"lb05a";"lb05b";"lb03a";"lb02a";"lb04a"
"frag vesc";"hl";"Fragaria vesca";"+";"+";".";".";".";"+";1;".";"."
"pote ster";"hl";"Potebntilla sterilis";"+";"+";".";".";".";".";".";".";"."
"loni xylo";"hl";"Lonicera xylosteum";1;".";"+";".";"+";1;".";1;"."
"daph meze";"hl";"Daphne mezereum";".";".";"r";".";"+";"+";".";".";"."
"gali sylv";"hl";"Galium sylvaticum";"+";"+";".";".";".";"+";".";2;"."
"clem vita";"hl";"Clematis vitalba";".";".";".";".";".";"+";".";".";"."
"pice abie";"hl";"Picea abies";".";".";".";".";".";"+";".";".";"."
"prun aviu slat";"hl";"Prunus avium";".";".";".";".";".";"+";".";".";"."
"poly odor";"hl";"Polygonatum odoratum";".";".";".";".";".";1;".";".";"."
"fest hete ylla";"hl";"Festuca heterophylla";1;1;".";"+";1;1;".";"+";"+"
"cory avel";"hl";"Corylus avellana";".";".";"+";".";".";".";1;1;"."
"ajug gene";"hl";"Ajuga genevensis";".";".";".";".";".";".";"+";".";"."
"aven flex flex";"hl";"Avenella flexuosa";".";".";".";".";".";".";"+";".";"."
"arab aren";"hl";"Cardaminopsis arenosa";".";".";".";".";".";".";"+";".";"."
"cirs vulg";"hl";"Cirsium vulgare";".";".";".";".";".";".";"+";".";"."
"tara sect rude";"hl";"Taraxacum officinalis agg";".";".";".";".";".";".";"+";".";"."
"vero offi";"hl";"Veronica officinalis";".";".";".";".";".";".";"+";".";"."
"agro capi";"hl";"Agrostis capillaris";".";".";".";".";".";".";1;".";"."
