plot;abbr;layer;cov;browsed;voucher;comment;history
hw11;achi mill aggr;hl;+;yes;2008-0079;;
hw11;ajug gene;hl;+;no;;;
hw11;alli peti;hl;+;no;;;
hw11;arab auri;hl;+;no;;;
hw11;aren serp;hl;2m;no;;;
hw11;arrh elat;hl;+;yes;;;
hw11;ball nigr slat;hl;1;no;;;
hw11;brac sylv;hl;+;yes;;;
hw11;bugl arve;hl;+;no;2008-0044;;
hw11;came micr sylv;hl;+;yes;;;
hw11;card cras glau;hl;1;yes;;;
hw11;card nuta nuta;hl;+;no;;;
hw11;care muri sstr;hl;1;yes;;;
hw11;ceri mino mino;hl;2a;no;;;
hw11;cirs vulg;hl;+;no;;;
hw11;clem vita;hl;+;no;;;
hw11;clin acin;hl;+;no;;;
hw11;clin alpi alpi;hl;+;no;;;
hw11;conv arve;hl;r;no;;;
hw11;corn mas;hl;+;yes;;;
hw11;crat mono;hl;+;yes;;;
hw11;cyno offi;hl;+;no;2008-0043;;
hw11;dact glom glom;hl;+;yes;;;
hw11;digi gran;hl;+;no;;;
hw11;dory germ;hl;+;no;;;
hw11;echi vulg;hl;1;no;;;
hw11;erys sylv;hl;+;yes;;;
hw11;gali luci;hl;+;yes;;;
hw11;gera colu;hl;1;no;;;
hw11;gera sang;hl;+;no;;;
hw11;geum urba;hl;+;no;;;
hw11;glob cord;hl;+;no;;;
hw11;heli numm glab;hl;+;no;;;
hw11;hipp emer emer;hl;+;yes;;;
hw11;hylo maxi;hl;+;no;;;
hw11;hype perf;hl;+;no;;;
hw11;jovi glob hirt;hl;+;no;;;
hw11;lase sile sile;hl;+;yes;;;
hw11;lotu corn;hl;+;no;;;
hw11;malv sylv sylv;hl;2a;yes;;;
hw11;medi lupu;hl;+;yes;;;
hw11;mela nemo;hl;+;yes;2008-0100;cf.;
hw11;meli offi;hl;+;no;;;
hw11;micr perf;hl;+;no;;;
hw11;minu seta;hl;+;no;2008-0038;;
hw11;orig vulg;hl;1;no;;;
hw11;orob alba;hl;+;no;;;
hw11;orob cary;hl;+;no;;;
hw11;papa dubi dubi;hl;+;yes;;;
hw11;pelt alli;hl;2a;no;;;
hw11;poa angu;hl;+;yes;2008-0161;;
hw11;poa comp;hl;+;yes;2008-0145;;
hw11;rese lute lute;hl;+;no;;;
hw11;rham cath;hl;+;yes;;;
hw11;rosa arve;hl;+;yes;;;
hw11;rosa micr;hl;+;yes;;;
hw11;salv vert;hl;2b;no;;;
hw11;secu vari;hl;+;no;;;
hw11;sedu albu;hl;+;no;;;
hw11;sesl caer;hl;+;yes;;;
hw11;sile vulg vulg;hl;1;no;;;
hw11;stac rect rect;hl;+;no;;;
hw11;stel medi;hl;+;no;;;
hw11;tana cory cory;hl;+;no;;;
hw11;teuc botr;hl;1;no;;;
hw11;teuc cham;hl;1;no;;;
hw11;tris flav flav;hl;+;no;;;
hw11;verb chai aust;hl;2a;no;;;
hw11;vinc hiru;hl;3;no;;;
hw11;viol tric saxa;hl;+;no;;;
hw12;achi mill aggr;hl;+;no;;;
hw12;ajug gene;hl;+;no;;;
hw12;anth ramo;hl;+;yes;;;
hw12;anth vuln poly;hl;+;yes;;;
hw12;arab auri;hl;+;no;2008-0056;;
hw12;arab sagi;hl;+;no;;;
hw12;aren serp;hl;1;no;;;
hw12;aspe cyna;hl;1;no;;;
hw12;aspl ruta;hl;+;no;;;
hw12;brac sylv;hl;+;yes;;;
hw12;brom ster;hl;+;no;;;
hw12;camp cesp;hl;+;no;;;
hw12;card cras glau;hl;+;yes;;;
hw12;card nuta nuta;hl;+;no;;;
hw12;cyno offi;hl;+;no;;;
hw12;dian cart cart;hl;+;yes;2008-0058;cf.;
hw12;echi vulg;hl;+;no;;;
hw12;erys sylv;hl;2a;yes;;;
hw12;euph cypa;hl;+;no;;;
hw12;fest stri sulc;hl;2a;yes;2008-0057;;
hw12;frax exce;hl;+;no;;;
hw12;fuma proc;hl;1;no;;;
hw12;gali luci;hl;1;yes;;;
hw12;gera sang;hl;+;no;;;
hw12;glob cord;hl;2a;yes;;;
hw12;heli numm glab;hl;+;yes;;;
hw12;hier humi;hl;+;yes;;;
hw12;hype perf;hl;+;no;;;
hw12;jovi glob hirt;hl;1;no;;;
hw12;koel pyra pyra;hl;+;no;;;
hw12;lase sile sile;hl;+;yes;;;
hw12;leon inca;hl;+;yes;;;
hw12;lina geni;hl;+;no;;;
hw12;medi lupu;hl;+;yes;;;
hw12;micr perf;hl;+;no;;;
hw12;orig vulg;hl;2a;no;;;
hw12;pelt alli;hl;+;no;;;
hw12;poa bade;hl;+;no;;;
hw12;pote pusi;hl;+;yes;;;
hw12;puls gran;hl;+;yes;;;
hw12;rese lute lute;hl;2a;yes;;;
hw12;salv vert;hl;+;no;;;
hw12;sang mino mino;hl;+;no;;;
hw12;scab ochr;hl;+;yes;;;
hw12;secu vari;hl;+;yes;;;
hw12;sedu albu;hl;+;no;;;
hw12;sene vulg;hl;+;no;;;
hw12;sese aust;hl;+;no;;;
hw12;sesl caer;hl;+;yes;;;
hw12;sile nuta nuta;hl;+;no;;;
hw12;stac rect rect;hl;+;no;;;
hw12;tana cory cory;hl;+;no;;;
hw12;tara sect rude;hl;+;no;;;
hw12;teuc botr;hl;+;no;;;
hw12;teuc cham;hl;1;no;;;
hw12;teuc mont;hl;2a;no;;;
hw12;verb chai aust;hl;+;no;;;
