plot,cov,hcov,mcov,hhl1,hhl2,scov,hsl,t1cov,t2cov,htl1,htl2,plsx,plsy,aspect,slope,rock,bare,stones,date,longitude,latitude,accuracy,elevation,ffh.code,alliance.code,alliance,geology1,geology2,comment,locality,habitat,observer
rk042,6,5,1,"0,1","0,7",0,0,0,0,0,0,4,4,S,35,0,0,0,2018-06-13,15.53468,47.24641,10,791,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, S Gösser im Raabtal",montane Kalk-Schutthalde,R. Kaiser
rk043,6,5,1,"0,05","0,6",0,0,0,0,0,0,4,4,S,35,0,0,0,2018-06-13,15.53452,47.24634,10,783,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, S Gösser im Raabtal",montane Kalk-Schutthalde,R. Kaiser
rk044,15,15,0,"0,2","0,5",3,1,0,0,0,0,4,4,E,45,0,0,0,2018-06-13,15.33364,47.22109,10,462,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, E Peter im Greith",montane Kalk-Schutthalde,R. Kaiser
rk045,25,25,0,"0,25","0,4",0,0,0,0,0,0,4,4,ESE,35,0,0,0,2018-06-13,15.33397,47.22139,10,448,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, E Peter im Greith",montane Kalk-Schutthalde,R. Kaiser
rk046,7,7,1,"0,05","0,55",1,2,0,0,0,0,4,4,S,35,0,0,0,2018-06-27,12.56447,47.01215,10,1507,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Matrei, Falkenstein SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk047,10,7,3,"0,05","0,45",0,0,0,0,0,0,4,4,S,35,0,0,0,2018-06-27,12.56438,47.01222,10,1513,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Matrei, Falkenstein SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk048,65,60,5,"0,25","0,7",1,"0,75",0,0,0,0,4,4,S,35,0,0,0,2018-06-27,12.56431,47.01234,10,1520,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Matrei, Falkenstein SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk049,25,15,1,"0,1","0,3",0,0,0,0,0,0,4,4,SSW,35,0,0,0,2018-06-27,12.56563,47.01203,10,1521,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Matrei, Falkenstein SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk050,7,7,0,"0,2","0,4",0,0,0,0,0,0,4,4,SSW,35,0,0,0,2018-06-27,12.56558,47.01192,10,1514,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Matrei, Falkenstein SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk051,45,20,8,"0,2","0,6",10,3,0,0,0,0,4,4,SSE,40,0,0,0,2018-06-27,12.50290,46.99563,10,958,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Virgental, E Mitteldorf",montane Kalk-Schutthalde,R. Kaiser
rk052,20,20,1,"0,02","0,2",0,0,0,0,0,0,4,4,NW,35,0,0,0,2018-06-27,12.34994,47.00929,10,1654,8120,THL-01A,Thlaspion rotundifolii Jenny-Lips 1930,NA,NA,,"Virgental, N Zopatnitzenalm",alpine Kalk-Schutthalde,R. Kaiser
rk053,10,10,0,"0,05","0,55",0,0,0,0,0,0,4,4,SSW,35,0,0,0,2018-07-01,12.77548,46.79756,10,1568,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Lienzer Dolomiten, Rauchkofel SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk054,7,7,0,"0,15","0,7",0,0,0,0,0,0,4,4,SW,35,0,0,0,2018-07-01,12.77520,46.79771,10,1565,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Lienzer Dolomiten, Rauchkofel SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk055,7,5,0,"0,02","0,25",2,"2,5",0,0,0,0,4,4,SW,35,0,0,0,2018-07-01,12.77497,46.79758,10,1551,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Lienzer Dolomiten, Rauchkofel SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk056,10,10,0,"0,02","0,5",0,0,0,0,0,0,4,4,SSW,40,0,0,0,2018-07-01,12.77413,46.79817,10,1559,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Lienzer Dolomiten, Rauchkofel SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk057,25,15,0,"0,05","0,6",10,1,0,0,0,0,4,4,SSW,35,0,0,0,2018-07-01,12.77302,46.79699,10,1447,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Lienzer Dolomiten, Rauchkofel SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk058,20,20,0,"0,05","0,7",0,0,0,0,0,0,4,4,SSW,35,0,0,0,2018-07-01,12.77328,46.79694,10,1454,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Lienzer Dolomiten, Rauchkofel SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk059,6,5,0,"0,03","0,2",1,"3,5",0,0,0,0,4,4,SW,35,0,0,0,2018-07-01,12.77366,46.79677,10,1458,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Lienzer Dolomiten, Rauchkofel SW-Hang",montane Kalk-Schutthalde,R. Kaiser
rk060,8,8,0,"0,02","0,6",0,0,0,0,0,0,4,4,WSW,35,0,0,0,2018-07-01,12.77449,46.79657,10,1479,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Lienzer Dolomiten, Rauchkofel SW-Hang",montane Kalk-Schutthalde,R. Kaiser
