plot,abbr,layer,cover,voucher,comment,compare,history
rk016,impa glan,hl,2b,,,,
rk016,meli nuta,hl,+,,,,
rk016,orig vulg,hl,r,,,,
rk016,prun spin,hl,r,,,,
rk016,rosa arve,hl,+,,,,
rk016,rosa cani,hl,r,,,,
rk016,rubu caes,hl,r,,,,
rk016,rubu idae,hl,r,,,,
rk017,alli lusi,hl,r,,cf.,,
rk017,lact serr,hl,r,,,,
rk017,ligu vulg,hl,+,,,,
rk017,meli cili,hl,1,,,,
rk017,rese lute lute,hl,+,,,,
rk017,rubu caes,hl,+,,,,
rk017,sang mino mino,hl,1,,,,
rk017,sedu albu,hl,2m,,,,
rk017,sesl caer,hl,+,,,,
rk017,vibu lant,hl,r,,,,
rk017,rosa cani,sl,+,,,,
rk018,astr onob,hl,r,,,,
rk018,berb vulg,hl,r,,,,
rk018,brom iner,hl,1,2018-0142,,,
rk018,dory germ,hl,+,,,,
rk018,geni tinc,hl,r,,,,
rk018,medi falc,hl,r,,,,
rk018,meli offi,hl,1,,,,
rk018,rese lute lute,hl,+,,,,
rk018,salv nemo,hl,r,,,,
rk018,salv vert,hl,r,,,,
rk018,sang mino mino,hl,r,,,,
rk018,sese osse,hl,r,,,,
rk018,popu nigr,sl,+,2018-0141,,,
rk019,astr onob,hl,+,,,,
rk019,brac pinn,hl,+,,,,
rk019,brom iner,hl,+,,,,
rk019,clem vita,hl,+,,,,
rk019,corn mas,hl,r,,,,
rk019,corn sang slat,hl,2a,,,,
rk019,dory germ,hl,+,,,,
rk019,elym hisp hisp,hl,1,2018-0143,,,
rk019,euph cypa,hl,+,,,,
rk019,hier echi,hl,r,2018-0186,,,
rk019,jugl regi,hl,+,,,,
rk019,labu anag,hl,+,,,,
rk019,salv vert,hl,+,,,,
rk019,secu vari,hl,r,,,,
rk019,sese osse,hl,+,,,,
rk019,teuc cham,hl,2a,,,,
rk019,vibu lant,hl,+,,,,
rk019,corn sang slat,sl,1,,,,
rk019,labu anag,sl,+,,,,
rk020,astr onob,hl,+,,,,
rk020,brom iner,hl,r,,,,
rk020,corn sang slat,hl,+,,,,
rk020,dory germ,hl,+,,,,
rk020,echi vulg,hl,r,,,,
rk020,elym hisp hisp,hl,1,2018-0156,,,
rk020,euph cypa,hl,+,,,,
rk020,hier spec ies,hl,r,2018-0144,,,
rk020,inul ensi,hl,2b,,,,
rk020,iris pumi,hl,+,,,,
rk020,juri moll,hl,r,,,,
rk020,linu tenu,hl,r,2018-0145,,,
rk020,meli cili,hl,r,,,,
rk020,micr perf,hl,r,,,,
rk020,prun sero,hl,+,2018-0146,,,
rk020,salv nemo,hl,+,,,,
rk020,salv vert,hl,r,,,,
rk020,secu vari,hl,r,,,,
rk020,teuc cham,hl,2a,,,,
rk020,corn sang slat,sl,2a,,,,
rk021,astr onob,hl,+,,,,
rk021,brom iner,hl,+,,,,
rk021,cent stoe stoe,hl,r,,,,
rk021,clem vita,hl,r,,,,
rk021,corn sang slat,hl,+,,,,
rk021,coro coro,hl,1,,,,
rk021,cusc epit epit,hl,+,,,,
rk021,dory germ,hl,+,,,,
rk021,echi vulg,hl,r,,,,
rk021,elym hisp hisp,hl,+,2018-0148,,,
rk021,erys andr,hl,r,2018-0150,,,
rk021,gala lino,hl,r,2018-0147,,,
rk021,gali glau,hl,r,,,,
rk021,hier spec ies,hl,r,,,,
rk021,inul ensi,hl,1,,,,
rk021,iris pumi,hl,r,,,,
rk021,juri moll,hl,r,,,,
rk021,labu anag,hl,r,,,,
rk021,lapp squa,hl,r,2018-0149,,,
rk021,linu tenu,hl,1,,,,
rk021,meli cili,hl,2a,,,,
rk021,rosa gall,hl,+,,,,
rk021,salv vert,hl,+,,,,
rk021,scor hisp,hl,r,,,,
rk021,secu vari,hl,+,,,,
rk021,stip penn aggr,hl,r,2018-0151,,,
rk021,teuc cham,hl,2a,,,,
rk021,euon verr,sl,r,,,,
rk021,prun aviu slat,sl,r,,,,
rk022,brac pinn,hl,+,,,,
rk022,cerv rivi,hl,r,,,,
rk022,corn sang slat,hl,+,,,,
rk022,coro coro,hl,+,,,,
rk022,dict albu,hl,r,,,,
rk022,dory germ,hl,+,,,,
rk022,euph cypa,hl,+,,,,
rk022,geni tinc,hl,r,,,,
rk022,inul ensi,hl,1,,,,
rk022,labu anag,hl,r,,,,
rk022,micr perf,hl,r,,,,
rk022,prun sero,hl,r,,,,
rk022,rese lute lute,hl,r,,,,
rk022,rosa cani,hl,+,,,,
rk022,rosa cory,hl,r,,,,
rk022,stip penn aggr,hl,2a,,,,
rk022,teuc cham,hl,2a,,,,
rk022,crat mono,sl,r,2018-0152,,,
rk023,anth ramo,hl,+,,,,
rk023,camp rapu rapu,hl,r,2018-0154,,,
rk023,corn sang slat,hl,1,,,,
rk023,coro coro,hl,+,,,,
rk023,crat mono,hl,r,,crat mono,ok,
rk023,cyti nigr nigr,hl,r,2018-0153,,,
rk023,dory germ,hl,+,,,,
rk023,elym hisp hisp,hl,1,2018-0155,,,
rk023,euph cypa,hl,+,,,,
rk023,inul ensi,hl,+,,,,
rk023,iris vari,hl,+,,cf.,,
rk023,meli cili,hl,r,,,,
rk023,rosa cani,hl,+,,,,
rk023,salv vert,hl,r,,,,
rk023,sang mino mino,hl,r,,,,
rk023,teuc cham,hl,+,,,,
rk023,vibu lant,hl,r,,,,
rk023,berb vulg,sl,r,,,,
rk024,brac pinn,hl,r,,,,
rk024,brom erec,hl,1,,,,
rk024,cent stoe stoe,hl,r,,,,
rk024,clem vita,hl,+,,,,
rk024,corn sang slat,hl,2a,,,,
rk024,cyti nigr nigr,hl,r,,,,
rk024,dory germ,hl,1,,,,
rk024,erys andr,hl,r,2018-0185,,,
rk024,euph cypa,hl,r,,,,
rk024,inul ensi,hl,1,,,,
rk024,linu flav,hl,+,2018-0184,,,
rk024,micr perf,hl,r,,,,
rk024,rosa cani,hl,r,,,,
rk024,salv prat prat,hl,r,,,,
rk024,salv vert,hl,+,,,,
rk024,sang mino mino,hl,+,,,,
rk024,secu vari,hl,r,,,,
rk024,sese liba liba,hl,r,,,,
rk024,teuc cham,hl,+,,,,
rk024,vibu lant,hl,r,,,,
rk025,berb vulg,hl,r,,,,
rk025,both isch,hl,1,,,,
rk025,cent stoe stoe,hl,r,,,,
rk025,clin acin,hl,r,,,,
rk025,crat mono,hl,1,,,,
